iter	Passed	Remaining
948	95304	105547
949	95389	105430
950	95510	105352
951	95639	105284
952	95780	105227
953	95918	105168
954	96071	105125
955	96212	105069
956	96352	105011
957	96470	104929
958	96565	104822
959	96656	104711
960	96764	104618
961	96866	104519
962	96992	104445
963	97124	104378
964	97256	104311
965	97396	104252
966	97485	104139
967	97578	104030
968	97666	103915
969	97763	103810
970	97855	103700
971	97987	103633
972	98129	103575
973	98266	103512
974	98407	103453
975	98566	103413
976	98703	103350
977	98835	103282
978	98910	103153
979	98995	103036
980	99091	102929
981	99186	102823
982	99294	102728
983	99391	102624
984	99509	102539
985	99587	102415
986	99671	102296
987	99753	102176
988	99871	102093
989	99977	101997
990	100051	101869
991	100153	101768
992	100250	101664
993	100349	101560
994	100446	101455
995	100560	101368
996	100665	101271
997	100778	101182
998	100856	101058
999	100939	100939
1000	101033	100831
1001	101108	100705
1002	101196	100590
1003	101295	100488
1004	101408	100399
1005	101540	100329
1006	101675	100262
1007	101826	100210
1008	101926	100107
1009	102017	99997
1010	102119	99897
1011	102211	99787
1012	102319	99693
1013	102413	99585
1014	102499	99469
1015	102599	99367
1016	102698	99265
1017	102804	99168
1018	102891	99054
1019	102976	98938
1020	103069	98829
1021	103162	98721
1022	103255	98612
1023	103355	98510
1024	103464	98417
1025	103556	98308
1026	103650	98200
1027	103725	98075
1028	103792	97942
1029	103884	97833
1030	103980	97727
1031	104080	97626
1032	104167	97512
1033	104250	97394
1034	104345	97287
1035	104430	97172
1036	104509	97051
1037	104602	96943
1038	104674	96816
1039	104757	96698
1040	104848	96589
1041	104929	96470
1042	105025	96365
1043	105105	96246
1044	105198	96138
1045	105282	96022
1046	105365	95905
1047	105455	95795
1048	105547	95686
1049	105631	95571
1050	105707	95448
1051	105790	95332
1052	105873	95215
1053	105954	95097
1054	106043	94987
1055	106135	94879
1056	106226	94769
1057	106315	94658
1058	106396	94540
1059	106475	94421
1060	106566	94312
1061	106652	94199
1062	106731	94080
1063	106834	93982
1064	106920	93869
1065	107011	93760
1066	107108	93657
1067	107200	93549
1068	107296	93445
1069	107380	93331
1070	107457	93209
1071	107541	93095
1072	107620	92977
1073	107707	92865
1074	107798	92756
1075	107896	92655
1076	107998	92556
1077	108082	92442
1078	108176	92335
1079	108263	92224
1080	108357	92118
1081	108448	92010
1082	108526	91891
1083	108611	91778
1084	108694	91664
1085	108778	91550
1086	108868	91441
1087	108958	91333
1088	109046	91222
1089	109127	91106
1090	109196	90980
1091	109283	90869
1092	109368	90757
1093	109450	90641
1094	109530	90525
1095	109604	90404
1096	109691	90293
1097	109778	90182
1098	109862	90069
1099	109950	89959
1100	110046	89856
1101	110133	89746
1102	110220	89635
1103	110308	89526
1104	110394	89414
1105	110477	89301
1106	110562	89188
1107	110640	89071
1108	110729	88962
1109	110825	88860
1110	110914	88751
1111	110994	88635
1112	111078	88523
1113	111158	88408
1114	111236	88290
1115	111324	88181
1116	111416	88075
1117	111504	87966
1118	111594	87859
1119	111670	87741
1120	111751	87626
1121	111833	87513
1122	111923	87405
1123	112013	87298
1124	112104	87192
1125	112193	87084
1126	112280	86975
1127	112363	86862
1128	112445	86749
1129	112510	86622
1130	112596	86513
1131	112680	86401
1132	112762	86288
1133	112856	86184
1134	112939	86072
1135	113036	85971
1136	113135	85871
1137	113219	85760
1138	113297	85644
1139	113405	85551
1140	113483	85435
1141	113560	85319
1142	113696	85247
1143	113775	85132
1144	113850	85015
1145	113909	84885
1146	113980	84765
1147	114035	84632
1148	114095	84504
1149	114163	84381
1150	114229	84258
1151	114297	84135
1152	114362	84011
1153	114426	83886
1154	114494	83764
1155	114552	83635
1156	114626	83518
1157	114729	83421
1158	114782	83288
1159	114834	83155
1160	114896	83030
1161	114994	82930
1162	115074	82817
1163	115201	82739
1164	115259	82611
1165	115324	82487
1166	115389	82364
1167	115452	82239
1168	115529	82125
1169	115613	82016
1170	115703	81911
1171	115783	81799
1172	115854	81680
1173	115935	81569
1174	116023	81463
1175	116107	81354
1176	116197	81249
1177	116322	81168
1178	116397	81053
1179	116474	80939
1180	116583	80848
1181	116640	80720
1182	116698	80593
1183	116773	80479
1184	116841	80359
1185	116929	80253
1186	117036	80160
1187	117110	80045
1188	117173	79922
1189	117274	79825
1190	117363	79720
1191	117463	79622
1192	117554	79519
1193	117633	79407
1194	117723	79303
1195	117793	79185
1196	117866	79069
1197	117932	78949
1198	118008	78836
1199	118069	78712
1200	118135	78593
1201	118196	78469
1202	118261	78349
1203	118350	78244
1204	118457	78152
1205	118555	78053
1206	118649	77953
1207	118745	77853
1208	118834	77748
1209	118927	77646
1210	119024	77547
1211	119122	77449
1212	119246	77367
1213	119329	77259
1214	119380	77130
1215	119449	77013
